blockNum,trialnum,refIsOne,Piston1MaxIntensity,TimeToComplete1,Piston2MaxIntensity,TimeToComplete2,Answer,TimeToAnswer
0,0,TRUE,0.4,2.08,0.6,2.54,FALSE,3.37
0,1,TRUE,0.4,2.74,0.35,2.34,TRUE,1.8
0,2,FALSE,0.5,2.29,0.4,1.68,TRUE,1.27
0,3,TRUE,0.4,2.1,0.45,1.73,FALSE,1.69
0,4,FALSE,0.2,2.08,0.4,2.35,FALSE,2.4
0,5,TRUE,0.4,1.01,0.3,2.36,TRUE,2.16
1,0,TRUE,0.4,1.74,0.3,1.58,TRUE,3.65
1,1,TRUE,0.4,1.89,0.6,1.66,FALSE,1.7
1,2,TRUE,0.4,2.26,0.2,2.19,TRUE,2.27
1,3,TRUE,0.4,2.25,0.5,2.65,FALSE,1.82
1,4,TRUE,0.4,2.22,0.35,2.77,TRUE,1.58
1,5,FALSE,0.45,2.12,0.4,2.52,FALSE,1.17
2,0,TRUE,0.4,2.04,0.5,1.12,FALSE,1.78
2,1,FALSE,0.2,1.64,0.4,1.57,FALSE,1.19
2,2,FALSE,0.45,1.64,0.4,1.75,FALSE,3.7
2,3,TRUE,0.4,1.5,0.35,1.33,FALSE,2.37
2,4,TRUE,0.4,2.4,0.6,2.19,FALSE,1.64
2,5,FALSE,0.3,2.23,0.4,2.1,TRUE,1.49
3,0,FALSE,0.3,1.94,0.4,1.91,FALSE,1.09
3,1,TRUE,0.4,2.25,0.6,2.14,FALSE,2.13
3,2,TRUE,0.4,2.26,0.35,2.19,TRUE,3.53
3,3,TRUE,0.4,2,0.2,2.27,TRUE,3.07
3,4,FALSE,0.5,2.32,0.4,2.89,FALSE,1.84
3,5,FALSE,0.45,2.07,0.4,2.13,TRUE,1.74
4,0,FALSE,0.3,1.89,0.4,1.64,FALSE,1.88
4,1,TRUE,0.4,1.82,0.6,1.78,FALSE,1.6
4,2,FALSE,0.2,2.23,0.4,1.84,FALSE,2.09
4,3,TRUE,0.4,1.92,0.45,2.44,TRUE,3.09
4,4,TRUE,0.4,2.1,0.5,2.43,FALSE,1.8
4,5,TRUE,0.4,1.89,0.35,1.73,TRUE,1.51
