blockNum,trialnum,refIsOne,Piston1MaxIntensity,TimeToComplete1,Piston2MaxIntensity,TimeToComplete2,Answer,TimeToAnswer
0,0,FALSE,0.7,1.69,0.8,1.9,FALSE,1.49
0,1,TRUE,0.8,1.92,1,1.97,FALSE,1.33
0,2,TRUE,0.8,1.94,0.6,0.92,TRUE,1.52
0,3,FALSE,0.75,1.92,0.8,1.84,FALSE,2.46
0,4,TRUE,0.8,1.71,0.9,1.85,TRUE,1.84
0,5,TRUE,0.8,2.25,0.85,1.82,FALSE,3.95
1,0,FALSE,0.6,2.71,0.8,1.81,TRUE,1.32
1,1,TRUE,0.8,2.46,1,2.5,FALSE,1.57
1,2,FALSE,0.85,2.15,0.8,2.85,TRUE,2.08
1,3,FALSE,0.75,1.89,0.8,1.77,TRUE,1.54
1,4,TRUE,0.8,2.46,0.9,2.77,FALSE,1.72
1,5,FALSE,0.7,2.11,0.8,2.66,FALSE,1.71
2,0,TRUE,0.8,2.4,0.75,1.96,TRUE,1.34
2,1,FALSE,0.9,2.08,0.8,1.73,FALSE,2.19
2,2,FALSE,1,1.91,0.8,1.93,TRUE,2.29
2,3,FALSE,0.85,2.54,0.8,2.31,TRUE,1.3
2,4,FALSE,0.6,2.7,0.8,2.7,TRUE,1.79
2,5,TRUE,0.8,2.58,0.7,2.57,FALSE,3.09
3,0,FALSE,0.85,2.27,0.8,2.08,FALSE,2.58
3,1,TRUE,0.8,3.37,0.75,3.15,FALSE,1.66
3,2,FALSE,0.6,2.74,0.8,2.21,FALSE,1.77
3,3,FALSE,0.9,2.13,0.8,2.1,FALSE,1.15
3,4,TRUE,0.8,1.79,1,2.12,FALSE,1.78
3,5,TRUE,0.8,1.98,0.7,2.34,TRUE,3.08
4,0,FALSE,0.9,2.76,0.8,3.27,TRUE,2.75
4,1,TRUE,0.8,2.51,0.85,2.4,FALSE,1.36
4,2,FALSE,0.7,2.75,0.8,2.3,FALSE,1.99
4,3,TRUE,0.8,2.69,0.75,2.64,FALSE,2.77
4,4,FALSE,0.6,2.69,0.8,2.57,FALSE,1.8
4,5,TRUE,0.8,2.42,1,2.53,TRUE,2.85
