blockNum,trialnum,refIsOne,Piston1MaxIntensity,TimeToComplete1,Piston2MaxIntensity,TimeToComplete2,Answer,TimeToAnswer
0,0,FALSE,0.2,2.35,0.4,2.62,FALSE,1.18
0,1,FALSE,0.5,2.48,0.4,2.29,FALSE,0.96
0,2,FALSE,0.45,2.57,0.4,2.04,FALSE,1.29
0,3,TRUE,0.4,2.04,0.35,2.46,TRUE,2.26
0,4,TRUE,0.4,2.69,0.6,1.86,FALSE,1.74
0,5,TRUE,0.4,2.02,0.3,2.06,TRUE,2.38
1,0,TRUE,0.4,2.08,0.3,2,FALSE,1.03
1,1,TRUE,0.4,2.51,0.6,1.96,FALSE,0.77
1,2,TRUE,0.4,2.21,0.2,2.07,TRUE,0.82
1,3,TRUE,0.4,2.82,0.5,1.86,FALSE,1.58
1,4,TRUE,0.4,2.24,0.35,2.55,FALSE,1.21
1,5,FALSE,0.45,2.49,0.4,2.16,TRUE,2.76
2,0,TRUE,0.4,2,0.6,1.89,FALSE,1.11
2,1,FALSE,0.45,3.62,0.4,2,TRUE,0.9
2,2,FALSE,0.3,2.79,0.4,2.14,FALSE,1.02
2,3,FALSE,0.35,2.68,0.4,2.21,FALSE,2.04
2,4,TRUE,0.4,1.28,0.5,1.21,FALSE,0.81
2,5,FALSE,0.2,1.5,0.4,1.51,FALSE,1.11
3,0,FALSE,0.45,2.21,0.4,2.33,FALSE,1.21
3,1,FALSE,0.3,2.68,0.4,2.33,FALSE,2.57
3,2,FALSE,0.5,3.08,0.4,2.62,FALSE,3.81
3,3,TRUE,0.4,2.24,0.2,2.25,TRUE,0.92
3,4,TRUE,0.4,2.19,0.35,1.71,TRUE,1.88
3,5,TRUE,0.4,2.48,0.6,2.2,FALSE,1.81
4,0,FALSE,0.2,2.28,0.4,1.91,FALSE,1.78
4,1,FALSE,0.35,2.13,0.4,2.38,FALSE,2.87
4,2,FALSE,0.5,2.11,0.4,1.96,FALSE,2.03
4,3,TRUE,0.4,2.41,0.3,2.13,TRUE,4.11
4,4,TRUE,0.4,2.27,0.6,1.89,FALSE,1.1
4,5,TRUE,0.4,2.3,0.45,1.89,FALSE,3.08
