blockNum,trialnum,refIsOne,Piston1MaxIntensity,TimeToComplete1,Piston2MaxIntensity,TimeToComplete2,Answer,TimeToAnswer
0,0,FALSE,0.7,9.63,0.8,2.12,FALSE,37.13
0,1,TRUE,0.8,2.49,0.85,3.09,FALSE,2.45
0,2,TRUE,0.8,2.27,0.9,2.62,FALSE,1.1
0,3,FALSE,0.6,3.04,0.8,3.65,FALSE,0.85
0,4,FALSE,0.75,2.16,0.8,2.74,FALSE,0.93
0,5,FALSE,1,2.79,0.8,2.21,TRUE,0.85
1,0,TRUE,0.8,2.45,1,1.76,TRUE,0.65
1,1,FALSE,0.6,2.69,0.8,2.57,FALSE,0.88
1,2,TRUE,0.8,2.83,0.85,2.33,FALSE,1.27
1,3,TRUE,0.8,2.41,0.75,2.21,FALSE,0.82
1,4,TRUE,0.8,3.13,0.9,2.68,TRUE,3.58
1,5,FALSE,0.7,2.87,0.8,2.7,TRUE,0.76
2,0,FALSE,0.75,3.75,0.8,2.3,FALSE,2.35
2,1,TRUE,0.8,3.33,0.6,2.04,TRUE,0.81
2,2,TRUE,0.8,2.66,0.7,2.33,FALSE,0.96
2,3,FALSE,1,2.66,0.8,2.9,TRUE,0.77
2,4,FALSE,0.85,3.04,0.8,1.89,TRUE,1.64
2,5,TRUE,0.8,2.86,0.9,2.47,TRUE,1.59
3,0,TRUE,0.8,2.81,1,2.52,FALSE,1.25
3,1,FALSE,0.6,3.05,0.8,3.12,FALSE,1.2
3,2,TRUE,0.8,2.08,0.75,2.37,TRUE,2
3,3,FALSE,0.7,2.96,0.8,3.1,TRUE,1.78
3,4,TRUE,0.8,3.28,0.9,2.63,FALSE,3.55
3,5,TRUE,0.8,2.88,0.85,2.6,FALSE,0.83
4,0,TRUE,0.8,3.61,0.75,3.58,TRUE,1.04
4,1,TRUE,0.8,2.83,0.85,3.27,FALSE,1.36
4,2,TRUE,0.8,3.15,0.7,2.26,FALSE,0.85
4,3,TRUE,0.8,3.89,1,2.8,FALSE,0.88
4,4,TRUE,0.8,3.6,0.6,3,TRUE,0.85
4,5,FALSE,0.9,3.68,0.8,3.78,FALSE,1.45
