blockNum,trialnum,refIsOne,Piston1MaxIntensity,TimeToComplete1,Piston2MaxIntensity,TimeToComplete2,Answer,TimeToAnswer
0,0,TRUE,0.4,4.1,0.3,2.11,TRUE,1.23
0,1,TRUE,0.4,2.53,0.35,2.35,TRUE,1.6
0,2,FALSE,0.5,2.95,0.4,4.18,TRUE,1.55
0,3,FALSE,0.6,4.82,0.4,3.93,TRUE,1.13
0,4,TRUE,0.4,4.67,0.2,3.43,TRUE,1.94
0,5,TRUE,0.4,4.36,0.45,3.73,FALSE,0.95
1,0,FALSE,0.3,3.67,0.4,3.59,FALSE,0.97
1,1,TRUE,0.4,5.27,0.5,4.33,FALSE,1.43
1,2,TRUE,0.4,5.84,0.45,4.55,FALSE,1.34
1,3,TRUE,0.4,4.71,0.35,4.03,TRUE,1.05
1,4,FALSE,0.6,4.44,0.4,3.06,TRUE,1.07
1,5,TRUE,0.4,3.94,0.2,3.43,TRUE,1.04
2,0,FALSE,0.2,3.99,0.4,4.14,FALSE,0.97
2,1,FALSE,0.5,3.95,0.4,3.88,TRUE,1.38
2,2,TRUE,0.4,5.66,0.35,3.17,FALSE,0.97
2,3,FALSE,0.3,3.4,0.4,2.8,FALSE,1.06
2,4,TRUE,0.4,3.39,0.6,3.89,FALSE,1.37
2,5,TRUE,0.4,3.81,0.45,3.46,FALSE,1.36
3,0,FALSE,0.3,3.03,0.4,2.54,FALSE,0.86
3,1,TRUE,0.4,2.61,0.6,3.66,FALSE,0.91
3,2,TRUE,0.4,3.56,0.35,3.08,TRUE,1.05
3,3,FALSE,0.2,2.91,0.4,3.04,FALSE,0.97
3,4,TRUE,0.4,4.19,0.45,3.43,FALSE,1.07
3,5,FALSE,0.5,3.73,0.4,3.51,TRUE,0.92
4,0,FALSE,0.45,2.96,0.4,2.92,FALSE,1.09
4,1,FALSE,0.2,4.61,0.4,3.44,FALSE,2.2
4,2,TRUE,0.4,3.16,0.6,3.44,FALSE,1.08
4,3,FALSE,0.3,2.65,0.4,2.89,FALSE,0.99
4,4,FALSE,0.35,3.53,0.4,2.99,FALSE,0.8
4,5,TRUE,0.4,3.52,0.5,3.54,FALSE,4.74
