blockNum,trialnum,refIsOne,Piston1MaxIntensity,TimeToComplete1,Piston2MaxIntensity,TimeToComplete2,Answer,TimeToAnswer
0,0,TRUE,0.8,2.18,0.85,1.98,FALSE,4.3
0,1,FALSE,0.6,2.06,0.8,3.02,FALSE,1.42
0,2,TRUE,0.8,2.81,1,4.03,FALSE,2.15
0,3,TRUE,0.8,3.85,0.75,3.38,TRUE,1.82
0,4,TRUE,0.8,3.66,0.7,2.82,TRUE,1.67
0,5,FALSE,0.9,3.38,0.8,3.8,FALSE,1.74
1,0,TRUE,0.8,2.61,0.7,2.69,FALSE,2.16
1,1,FALSE,1,2.83,0.8,3.09,TRUE,2.38
1,2,TRUE,0.8,3.29,0.75,2.79,FALSE,1.62
1,3,TRUE,0.8,3.27,0.9,2.99,FALSE,3.43
1,4,TRUE,0.8,2.67,0.85,2,FALSE,1.1
1,5,FALSE,0.6,1.99,0.8,2.39,FALSE,1.94
2,0,FALSE,0.6,2.42,0.8,3.35,FALSE,4.1
2,1,FALSE,0.85,2.84,0.8,2.63,FALSE,2.13
2,2,TRUE,0.8,3.1,0.9,3.5,FALSE,2.11
2,3,TRUE,0.8,3.31,0.7,2.26,FALSE,2.77
2,4,FALSE,0.75,2.69,0.8,3.33,FALSE,2.57
2,5,FALSE,1,2.43,0.8,2.44,TRUE,2.07
3,0,TRUE,0.8,3.58,0.85,2.65,TRUE,1.63
3,1,FALSE,0.75,2.71,0.8,2.51,TRUE,3.94
3,2,FALSE,1,5.34,0.8,3.55,FALSE,5.07
3,3,TRUE,0.8,3.59,0.9,2.99,TRUE,6.33
3,4,TRUE,0.8,2.92,0.6,2.36,TRUE,2.78
3,5,FALSE,0.7,2.82,0.8,2.57,FALSE,7.37
4,0,TRUE,0.8,2.16,0.6,1.87,TRUE,2.49
4,1,FALSE,0.7,3.44,0.8,2.64,FALSE,2.97
4,2,FALSE,0.75,2.46,0.8,2.47,FALSE,5.68
4,3,FALSE,0.9,2.57,0.8,2.52,FALSE,3.56
4,4,FALSE,1,4.12,0.8,2.15,TRUE,1.9
4,5,FALSE,0.85,2.58,0.8,2.26,TRUE,3.8
