blockNum,trialnum,refIsOne,Piston1MaxIntensity,TimeToComplete1,Piston2MaxIntensity,TimeToComplete2,Answer,TimeToAnswer
0,0,True,0.6,1.07,0.66,0.46,False,1.47
0,1,False,0.48,0.53,0.6,0.67,False,1.07
0,2,False,0.54,0.49,0.6,0.86,False,0.90
0,3,True,0.6,0.44,0.72,0.69,True,3.71
0,4,True,0.6,0.62,0.63,1.15,True,0.99
0,5,True,0.6,0.76,0.57,1.99,False,0.84
1,0,True,0.6,0.71,0.57,1.96,False,2.27
1,1,True,0.6,0.52,0.48,0.54,False,4.10
1,2,False,0.72,0.57,0.6,0.47,True,1.57
1,3,False,0.63,0.56,0.6,0.42,False,2.25
1,4,False,0.66,0.54,0.6,0.51,False,2.24
1,5,True,0.6,0.49,0.54,0.46,True,1.94
2,0,True,0.6,0.54,0.48,0.61,True,1.68
2,1,True,0.6,0.52,0.66,0.67,True,0.87
2,2,True,0.6,0.88,0.54,0.82,False,1.86
2,3,True,0.6,0.71,0.72,0.95,False,1.78
2,4,False,0.57,0.44,0.6,0.46,False,1.82
2,5,False,0.63,0.36,0.6,0.55,False,2.78
3,0,True,0.6,0.42,0.57,0.60,False,1.48
3,1,False,0.48,0.47,0.6,0.41,False,1.09
3,2,False,0.66,0.35,0.6,0.77,True,0.94
3,3,True,0.6,0.53,0.54,0.65,False,3.28
3,4,False,0.72,0.60,0.6,0.87,True,0.87
3,5,True,0.6,0.83,0.63,0.96,False,3.74
4,0,False,0.72,1.01,0.6,0.67,False,0.80
4,1,True,0.6,0.75,0.54,0.56,False,1.60
4,2,True,0.6,0.68,0.57,0.53,False,1.47
4,3,False,0.48,0.64,0.6,0.99,False,2.56
4,4,True,0.6,0.51,0.63,0.88,True,5.81
4,5,False,0.66,0.55,0.6,0.60,False,1.13
