blockNum,trialnum,refIsOne,Piston1MaxIntensity,TimeToComplete1,Piston2MaxIntensity,TimeToComplete2,Answer,TimeToAnswer
0,0,TRUE,0.6,3.84,0.4,2.87,FALSE,3.22
0,1,TRUE,0.6,2.66,0.7,3.12,FALSE,8.35
0,2,FALSE,0.65,2.7,0.6,2.75,FALSE,2.83
0,3,FALSE,0.55,2.81,0.6,2.94,TRUE,8.26
0,4,FALSE,0.8,3.44,0.6,3.33,FALSE,6.8
0,5,TRUE,0.6,2.77,0.5,2.29,TRUE,4.96
1,0,FALSE,0.8,2.73,0.6,2.7,TRUE,2.45
1,1,FALSE,0.5,2.28,0.6,2.87,FALSE,1.6
1,2,FALSE,0.4,3.27,0.6,2.74,FALSE,1.77
1,3,TRUE,0.6,3.1,0.65,2.6,FALSE,1.95
1,4,FALSE,0.55,3.06,0.6,2.47,TRUE,3.36
1,5,TRUE,0.6,2.75,0.7,2.52,FALSE,1.7
2,0,TRUE,0.6,3.23,0.7,2.32,FALSE,1.81
2,1,TRUE,0.6,2.65,0.8,2.4,FALSE,1.65
2,2,TRUE,0.6,2.71,0.65,2.57,FALSE,2.51
2,3,FALSE,0.5,2.65,0.6,1.98,FALSE,1.93
2,4,FALSE,0.55,2.65,0.6,2.41,FALSE,1.47
2,5,FALSE,0.4,3.1,0.6,1.77,FALSE,1.8
3,0,TRUE,0.6,1.79,0.5,1.96,TRUE,2.21
3,1,TRUE,0.6,2.62,0.8,2.15,FALSE,2.03
3,2,TRUE,0.6,2.36,0.7,1.95,FALSE,1.69
3,3,TRUE,0.6,2.11,0.55,1.81,TRUE,2.17
3,4,TRUE,0.6,2.16,0.4,1.8,TRUE,2.07
3,5,TRUE,0.6,2.08,0.65,2.02,FALSE,1.23
4,0,TRUE,0.6,1.87,0.5,1.85,TRUE,1.84
4,1,FALSE,0.65,2.5,0.6,1.85,FALSE,1.69
4,2,FALSE,0.8,2.66,0.6,1.98,TRUE,1.72
4,3,TRUE,0.6,2.53,0.55,1.92,FALSE,1.64
4,4,TRUE,0.6,2.38,0.7,1.71,FALSE,1.5
4,5,TRUE,0.6,2.34,0.4,1.74,TRUE,2.37
