blockNum,trialnum,refIsOne,Piston1MaxIntensity,TimeToComplete1,Piston2MaxIntensity,TimeToComplete2,Answer,TimeToAnswer
0,0,TRUE,0.4,4.69,0.3,4.94,FALSE,31.79
0,1,TRUE,0.4,3.16,0.2,2.89,TRUE,7.29
0,2,FALSE,0.35,1.44,0.4,2.49,FALSE,11.96
0,3,TRUE,0.4,2.31,0.45,2.54,TRUE,7.41
0,4,FALSE,0.6,2.64,0.4,2.74,TRUE,3.97
0,5,FALSE,0.5,3.25,0.4,2.26,TRUE,3.67
1,0,FALSE,0.45,2.18,0.4,2.16,TRUE,4.2
1,1,TRUE,0.4,2.2,0.2,1.57,TRUE,4.1
1,2,TRUE,0.4,2.31,0.3,1.95,TRUE,3.33
1,3,FALSE,0.6,2.3,0.4,1.82,TRUE,3.25
1,4,FALSE,0.35,2.36,0.4,2.14,FALSE,3.46
1,5,TRUE,0.4,2.32,0.5,2.17,FALSE,5.8
2,0,TRUE,0.4,2.69,0.6,2.15,FALSE,2.33
2,1,TRUE,0.4,1.89,0.5,1.92,TRUE,3.36
2,2,TRUE,0.4,2.69,0.45,2.24,FALSE,2.05
2,3,FALSE,0.35,2.57,0.4,2.11,FALSE,2.48
2,4,TRUE,0.4,2.91,0.3,2.1,TRUE,3.04
2,5,FALSE,0.2,2.33,0.4,2.12,FALSE,2.41
3,0,FALSE,0.45,2.48,0.4,1.94,TRUE,3.79
3,1,FALSE,0.2,2.35,0.4,1.53,FALSE,8.58
3,2,FALSE,0.6,2.5,0.4,2.06,TRUE,3.16
3,3,FALSE,0.3,2.41,0.4,2.11,FALSE,2.41
3,4,TRUE,0.4,2.43,0.35,2.04,TRUE,2.47
3,5,FALSE,0.5,2.16,0.4,1.93,TRUE,2.38
4,0,TRUE,0.4,1.96,0.35,1.64,TRUE,2.21
4,1,FALSE,0.45,1.99,0.4,1.64,FALSE,2.6
4,2,TRUE,0.4,2.68,0.3,1.46,TRUE,3.17
4,3,TRUE,0.4,1.91,0.5,1.56,FALSE,6.9
4,4,FALSE,0.6,2.6,0.4,2.12,TRUE,3.1
4,5,TRUE,0.4,2.34,0.2,1.76,TRUE,4.54
