blockNum,trialnum,refIsOne,Piston1MaxIntensity,TimeToComplete1,Piston2MaxIntensity,TimeToComplete2,Answer,TimeToAnswer
0,0,FALSE,0.75,31.83,0.8,1.66,TRUE,1.38
0,1,TRUE,0.8,2.99,0.85,2.62,FALSE,1.54
0,2,TRUE,0.8,2.78,0.6,2.37,TRUE,1.39
0,3,TRUE,0.8,2.45,1,2.62,FALSE,1.53
0,4,TRUE,0.8,2.58,0.9,2.39,FALSE,1.61
0,5,TRUE,0.8,2.59,0.7,2.54,TRUE,2.6
1,0,TRUE,0.8,2.86,0.85,3.02,TRUE,1.49
1,1,FALSE,0.7,3.03,0.8,2.82,FALSE,1.49
1,2,TRUE,0.8,2.9,1,2.43,FALSE,1.69
1,3,TRUE,0.8,3.14,0.9,2.33,FALSE,1.53
1,4,FALSE,0.75,2.77,0.8,2.35,FALSE,1.19
1,5,TRUE,0.8,2.97,0.6,2.58,TRUE,2.33
2,0,FALSE,0.6,2.62,0.8,2.43,FALSE,1.3
2,1,FALSE,1,2.92,0.8,2.62,FALSE,1.5
2,2,TRUE,0.8,2.99,0.85,2.61,TRUE,1.36
2,3,TRUE,0.8,2.93,0.9,2.45,FALSE,1.68
2,4,FALSE,0.75,2.43,0.8,2.26,TRUE,2.59
2,5,TRUE,0.8,2.9,0.7,2.46,FALSE,1.5
3,0,TRUE,0.8,2.84,0.6,2.52,TRUE,1.32
3,1,FALSE,0.7,3.2,0.8,2.9,FALSE,1.27
3,2,TRUE,0.8,3.38,0.85,2.62,FALSE,1.31
3,3,FALSE,1,2.29,0.8,2.02,TRUE,1.31
3,4,FALSE,0.75,2.84,0.8,2.67,FALSE,1.4
3,5,FALSE,0.9,2.9,0.8,2.56,FALSE,1.28
4,0,TRUE,0.8,2.97,0.75,2.45,FALSE,0.93
4,1,FALSE,0.7,2.81,0.8,2.48,FALSE,1.38
4,2,FALSE,0.85,3.29,0.8,2.36,TRUE,1.51
4,3,FALSE,0.6,2.6,0.8,2.01,FALSE,1.75
4,4,FALSE,0.9,2.4,0.8,1.93,TRUE,1.07
4,5,TRUE,0.8,2.5,1,2.02,FALSE,1.23
