blockNum,trialnum,refIsOne,Piston1MaxIntensity,TimeToComplete1,Piston2MaxIntensity,TimeToComplete2,Answer,TimeToAnswer
0,0,FALSE,0.8,1.93,0.6,1.7,TRUE,2.54
0,1,TRUE,0.6,2,0.5,1.6,FALSE,1.83
0,2,FALSE,0.4,2.09,0.6,1.75,FALSE,1.62
0,3,TRUE,0.6,1.78,0.65,1.49,TRUE,1.36
0,4,FALSE,0.7,2.04,0.6,2.12,FALSE,1.97
0,5,FALSE,0.55,2.25,0.6,1.96,FALSE,1.25
1,0,FALSE,0.4,1.46,0.6,1.5,FALSE,1
1,1,TRUE,0.6,1.88,0.8,1.83,FALSE,1.31
1,2,TRUE,0.6,2.6,0.5,2.48,TRUE,1.13
1,3,FALSE,0.55,3.09,0.6,2.7,FALSE,1.15
1,4,TRUE,0.6,3.67,0.65,2.93,TRUE,1.88
1,5,FALSE,0.7,3.18,0.6,2.7,TRUE,0.91
2,0,TRUE,0.6,3.04,0.4,1.97,TRUE,1.63
2,1,TRUE,0.6,2.51,0.55,2.53,TRUE,1.49
2,2,FALSE,0.5,2.78,0.6,2.51,TRUE,1.31
2,3,FALSE,0.65,3.07,0.6,2.28,TRUE,1.64
2,4,FALSE,0.7,3.03,0.6,2.37,FALSE,1.73
2,5,TRUE,0.6,2.75,0.8,2.18,FALSE,1.26
3,0,FALSE,0.4,3.14,0.6,2.52,FALSE,1.41
3,1,FALSE,0.65,3.03,0.6,2.31,TRUE,3.83
3,2,FALSE,0.7,2.81,0.6,1.99,TRUE,1.76
3,3,TRUE,0.6,2.76,0.8,2.65,FALSE,1.25
3,4,FALSE,0.5,2.48,0.6,2.52,TRUE,1.44
3,5,TRUE,0.6,2.48,0.55,2.03,TRUE,1.38
4,0,FALSE,0.5,2.77,0.6,2.38,TRUE,1.42
4,1,TRUE,0.6,3.41,0.65,2.45,TRUE,1.46
4,2,TRUE,0.6,2.66,0.7,2.56,TRUE,1.31
4,3,TRUE,0.6,2.9,0.4,2.29,TRUE,2.31
4,4,TRUE,0.6,2.69,0.8,2.96,FALSE,1.96
4,5,FALSE,0.55,2.69,0.6,2.68,FALSE,1.55
