blockNum,trialnum,refIsOne,Piston1MaxIntensity,TimeToComplete1,Piston2MaxIntensity,TimeToComplete2,Answer,TimeToAnswer
0,0,FALSE,0.5,7.01,0.6,4.52,FALSE,3.98
0,1,TRUE,0.6,3.73,0.4,3.94,TRUE,1.84
0,2,TRUE,0.6,4.6,0.55,3.48,FALSE,2.65
0,3,TRUE,0.6,4.86,0.8,4.29,FALSE,1.49
0,4,FALSE,0.65,4.26,0.6,3.95,FALSE,2.08
0,5,FALSE,0.7,5.61,0.6,4.22,TRUE,2.89
1,0,FALSE,0.5,3.91,0.6,3.5,FALSE,2.22
1,1,TRUE,0.6,3.48,0.65,3.62,TRUE,3.37
1,2,TRUE,0.6,4.38,0.55,2.11,FALSE,3.48
1,3,TRUE,0.6,3.94,0.7,3.67,FALSE,3.74
1,4,TRUE,0.6,3.86,0.4,4.25,FALSE,1.41
1,5,TRUE,0.6,4.11,0.8,4.97,TRUE,2.36
2,0,TRUE,0.6,4.28,0.5,3.8,TRUE,1.24
2,1,TRUE,0.6,3.97,0.55,2.99,FALSE,2.77
2,2,FALSE,0.7,3.55,0.6,2.97,TRUE,3.02
2,3,TRUE,0.6,3.23,0.65,3.24,TRUE,5.4
2,4,FALSE,0.4,2.14,0.6,2.51,TRUE,2.43
2,5,TRUE,0.6,2.38,0.8,2.62,FALSE,1.39
3,0,FALSE,0.5,2.68,0.6,3.16,FALSE,1.53
3,1,FALSE,0.55,3.21,0.6,2.8,FALSE,1.7
3,2,TRUE,0.6,3.4,0.65,3.05,FALSE,1.66
3,3,TRUE,0.6,2.97,0.7,4.12,FALSE,1.6
3,4,FALSE,0.8,3.95,0.6,3.77,TRUE,1.44
3,5,TRUE,0.6,4.76,0.4,3.87,TRUE,1.45
4,0,TRUE,0.6,4.04,0.55,2.96,TRUE,1.36
4,1,TRUE,0.6,3.4,0.8,3.38,FALSE,1.34
4,2,TRUE,0.6,3.17,0.5,3.11,TRUE,1.32
4,3,FALSE,0.7,2.73,0.6,2.07,TRUE,3.97
4,4,FALSE,0.4,2.68,0.6,2.3,FALSE,1.39
4,5,TRUE,0.6,3.22,0.65,2.73,TRUE,9.52
