blockNum,trialnum,refIsOne,Piston1MaxIntensity,TimeToComplete1,Piston2MaxIntensity,TimeToComplete2,Answer,TimeToAnswer
0,0,TRUE,0.4,3.85,0.6,2.56,FALSE,1.04
0,1,TRUE,0.4,6.18,0.3,2.92,TRUE,5.26
0,2,TRUE,0.4,2.16,0.2,2.33,TRUE,1.43
0,3,FALSE,0.35,3.05,0.4,2.66,FALSE,0.93
0,4,TRUE,0.4,8.93,0.5,2.47,TRUE,5.39
0,5,FALSE,0.45,2.41,0.4,2.28,TRUE,4.93
1,0,TRUE,0.4,3.09,0.3,2.14,TRUE,3.18
1,1,FALSE,0.2,2.85,0.4,2.91,FALSE,1.59
1,2,FALSE,0.45,2.63,0.4,2.84,TRUE,6.65
1,3,FALSE,0.35,2.98,0.4,2.55,FALSE,0.76
1,4,TRUE,0.4,3.01,0.5,3.25,FALSE,3.8
1,5,FALSE,0.6,2.59,0.4,3.15,TRUE,0.97
2,0,FALSE,0.45,2.84,0.4,2.98,FALSE,0.86
2,1,TRUE,0.4,3.08,0.2,2.59,TRUE,1.37
2,2,FALSE,0.3,2.55,0.4,1.99,TRUE,1.53
2,3,FALSE,0.5,2.83,0.4,3.12,TRUE,0.89
2,4,TRUE,0.4,2.65,0.6,1.98,FALSE,0.7
2,5,FALSE,0.35,3.58,0.4,3.53,TRUE,4.25
3,0,TRUE,0.4,2.35,0.5,2.24,FALSE,0.8
3,1,FALSE,0.35,2.45,0.4,3.06,FALSE,4.42
3,2,TRUE,0.4,3.53,0.3,3.21,TRUE,4.1
3,3,FALSE,0.2,4.25,0.4,4.63,TRUE,10.14
3,4,TRUE,0.4,3.32,0.6,3.02,FALSE,0.94
3,5,FALSE,0.45,4.06,0.4,3.15,TRUE,3.59
4,0,TRUE,0.4,3.55,0.6,2.41,FALSE,0.86
4,1,FALSE,0.2,2.96,0.4,3.83,FALSE,2.31
4,2,TRUE,0.4,2.6,0.35,3,TRUE,2.04
4,3,FALSE,0.3,4.55,0.4,4.08,FALSE,0.97
4,4,TRUE,0.4,3.37,0.5,2.33,FALSE,0.81
4,5,FALSE,0.45,2.82,0.4,2.18,TRUE,0.98
