blockNum,trialnum,refIsOne,Piston1MaxIntensity,TimeToComplete1,Piston2MaxIntensity,TimeToComplete2,Answer,TimeToAnswer
0,0,TRUE,0.6,3.76,0.5,7.56,FALSE,10.63
0,1,TRUE,0.6,15.5,0.65,7.47,TRUE,9.52
0,2,FALSE,0.4,11.73,0.6,2.44,TRUE,6.61
0,3,TRUE,0.6,2.94,0.55,4.3,FALSE,9.29
0,4,FALSE,0.7,3.34,0.6,3.53,FALSE,2.54
0,5,TRUE,0.6,2.8,0.8,3.66,TRUE,2.07
1,0,FALSE,0.5,4.23,0.6,2.67,TRUE,5.1
1,1,TRUE,0.6,3.84,0.4,3.47,FALSE,6.15
1,2,TRUE,0.6,2.17,0.65,3.12,FALSE,3.95
1,3,TRUE,0.6,2.58,0.8,3.11,TRUE,2.37
1,4,TRUE,0.6,3.67,0.7,5.37,TRUE,4.35
1,5,FALSE,0.55,7.8,0.6,2.9,TRUE,2.84
2,0,TRUE,0.6,4.31,0.65,3.19,TRUE,6.57
2,1,FALSE,0.55,2.82,0.6,2.67,TRUE,1.18
2,2,FALSE,0.4,2.95,0.6,2.37,TRUE,3.77
2,3,FALSE,0.7,5.38,0.6,2.38,FALSE,1.1
2,4,TRUE,0.6,6.85,0.8,2.48,FALSE,0.98
2,5,TRUE,0.6,2.6,0.5,2.43,FALSE,1.27
3,0,TRUE,0.6,3.73,0.7,2.39,FALSE,2.74
3,1,TRUE,0.6,2.51,0.8,3.03,FALSE,1.66
3,2,TRUE,0.6,2.85,0.5,2.52,TRUE,1.29
3,3,FALSE,0.65,3.18,0.6,2.43,FALSE,0.83
3,4,FALSE,0.4,3.88,0.6,2.32,FALSE,1
3,5,FALSE,0.55,4.22,0.6,2.06,FALSE,1.49
4,0,TRUE,0.6,2.99,0.55,2.09,TRUE,11.69
4,1,FALSE,0.4,2.02,0.6,2.41,TRUE,8.86
4,2,TRUE,0.6,2.58,0.5,2.33,TRUE,0.91
4,3,TRUE,0.6,2.29,0.8,2,FALSE,0.92
4,4,FALSE,0.7,3.97,0.6,3.72,TRUE,3.91
4,5,FALSE,0.65,2.63,0.6,3.14,TRUE,6.17
