blockNum,trialnum,refIsOne,Piston1MaxIntensity,TimeToComplete1,Piston2MaxIntensity,TimeToComplete2,Answer,TimeToAnswer
0,0,FALSE,0.7,1.3,0.8,1.07,TRUE,2.53
0,1,FALSE,0.85,1.2,0.8,1.02,TRUE,3.34
0,2,TRUE,0.8,1.54,0.9,1.15,FALSE,1.03
0,3,TRUE,0.8,1.44,1,1.42,TRUE,5.23
0,4,TRUE,0.8,1.23,0.6,1.14,FALSE,2.09
0,5,FALSE,0.75,1.47,0.8,1.7,TRUE,4.82
1,0,FALSE,0.6,3.67,0.8,1.67,TRUE,3.65
1,1,FALSE,0.9,1.96,0.8,1.82,FALSE,1.19
1,2,TRUE,0.8,1.68,0.7,1.16,TRUE,2.95
1,3,TRUE,0.8,1.45,0.75,1.27,TRUE,4.22
1,4,FALSE,1,1.58,0.8,1.2,TRUE,2.58
1,5,FALSE,0.85,1.55,0.8,1.67,TRUE,1.65
2,0,TRUE,0.8,1.5,1,1.1,TRUE,0.99
2,1,FALSE,0.7,1.38,0.8,0.95,FALSE,1.85
2,2,TRUE,0.8,1.02,0.75,1.12,FALSE,4.28
2,3,FALSE,0.9,1.05,0.8,0.98,TRUE,0.89
2,4,TRUE,0.8,1.03,0.6,0.93,TRUE,1.26
2,5,TRUE,0.8,1.45,0.85,1.31,TRUE,1.93
3,0,FALSE,0.6,1.22,0.8,0.85,TRUE,3.98
3,1,FALSE,1,1.07,0.8,0.91,FALSE,1.48
3,2,FALSE,0.75,1.08,0.8,0.9,FALSE,0.88
3,3,TRUE,0.8,1.42,0.9,0.92,TRUE,1.22
3,4,FALSE,0.7,1.29,0.8,0.93,TRUE,3.17
3,5,FALSE,0.85,1.16,0.8,1.01,TRUE,5.39
4,0,FALSE,0.6,1,0.8,1.07,TRUE,1.64
4,1,TRUE,0.8,1.22,1,1.92,FALSE,1.97
4,2,TRUE,0.8,1.61,0.9,1.19,TRUE,0.99
4,3,TRUE,0.8,1.27,0.7,1.25,TRUE,0.74
4,4,TRUE,0.8,1.67,0.75,1.15,FALSE,3.92
4,5,TRUE,0.8,1.03,0.85,1.16,FALSE,3.22
