blockNum,trialnum,refIsOne,Piston1MaxIntensity,TimeToComplete1,Piston2MaxIntensity,TimeToComplete2,Answer,TimeToAnswer
0,0,TRUE,0.4,5.35,0.6,2.55,FALSE,23.2
0,1,TRUE,0.4,2.92,0.45,2.68,TRUE,6.26
0,2,FALSE,0.2,2.46,0.4,2.2,FALSE,3.42
0,3,TRUE,0.4,2.54,0.3,1.83,TRUE,1.58
0,4,TRUE,0.4,1.59,0.5,1.57,FALSE,3.93
0,5,TRUE,0.4,1.55,0.35,1.76,TRUE,4.43
1,0,FALSE,0.35,2.47,0.4,2.69,TRUE,7.39
1,1,FALSE,0.2,2.19,0.4,2.44,FALSE,2.31
1,2,TRUE,0.4,2.24,0.6,2.33,FALSE,2.32
1,3,FALSE,0.3,2.32,0.4,3.31,TRUE,2.39
1,4,FALSE,0.5,2.07,0.4,2.27,TRUE,4.69
1,5,TRUE,0.4,2.7,0.45,2.13,TRUE,4.24
2,0,FALSE,0.5,5.01,0.4,2.64,TRUE,2.05
2,1,FALSE,0.45,2.75,0.4,2.72,TRUE,4.76
2,2,TRUE,0.4,2.76,0.6,3.22,FALSE,1.36
2,3,TRUE,0.4,3.7,0.3,2.42,TRUE,3.24
2,4,TRUE,0.4,2.42,0.2,2.56,TRUE,1.92
2,5,TRUE,0.4,2.25,0.35,2.59,TRUE,9.12
3,0,TRUE,0.4,2.68,0.2,2.55,TRUE,5.79
3,1,TRUE,0.4,2.93,0.5,2.76,FALSE,1.75
3,2,TRUE,0.4,3.91,0.6,2.69,FALSE,2.15
3,3,FALSE,0.3,3.64,0.4,3.08,FALSE,10.63
3,4,FALSE,0.45,2.52,0.4,2.75,TRUE,1.8
3,5,FALSE,0.35,2.65,0.4,2.5,FALSE,4.06
4,0,TRUE,0.4,2.57,0.5,2.25,FALSE,1.89
4,1,TRUE,0.4,2.27,0.6,3.64,FALSE,1.88
4,2,FALSE,0.2,2.23,0.4,1.69,FALSE,4.05
4,3,TRUE,0.4,1.71,0.35,1.7,TRUE,2.42
4,4,TRUE,0.4,1.98,0.3,1.47,TRUE,3.92
4,5,TRUE,0.4,1.74,0.45,1.52,FALSE,5.74
