blockNum,trialnum,refIsOne,Piston1MaxIntensity,TimeToComplete1,Piston2MaxIntensity,TimeToComplete2,Answer,TimeToAnswer
0,0,TRUE,0.8,0.45,0.85,0.92,TRUE,3.78
0,1,TRUE,0.8,0.97,0.9,1.33,FALSE,1.05
0,2,TRUE,0.8,1.22,1,0.73,TRUE,4.36
0,3,FALSE,0.7,0.8,0.8,0.36,TRUE,2.46
0,4,TRUE,0.8,1.13,0.75,0.95,FALSE,3
0,5,TRUE,0.8,0.89,0.6,0.86,FALSE,1.03
1,0,FALSE,0.85,0.87,0.8,0.38,TRUE,2.95
1,1,FALSE,0.6,0.6,0.8,0.69,FALSE,1.35
1,2,FALSE,0.75,0.88,0.8,0.65,FALSE,1.56
1,3,FALSE,0.9,0.8,0.8,0.57,TRUE,3.86
1,4,TRUE,0.8,0.61,1,0.71,TRUE,2.48
1,5,TRUE,0.8,0.85,0.7,0.5,TRUE,1.85
2,0,FALSE,0.9,0.51,0.8,0.46,TRUE,2.35
2,1,TRUE,0.8,0.36,0.85,0.57,FALSE,1.21
2,2,TRUE,0.8,0.41,1,1.03,FALSE,3.97
2,3,FALSE,0.6,0.92,0.8,0.87,TRUE,2.04
2,4,FALSE,0.7,0.98,0.8,0.95,TRUE,2.72
2,5,TRUE,0.8,1.01,0.75,0.43,TRUE,1.65
3,0,TRUE,0.8,0.97,0.9,0.7,FALSE,1.35
3,1,TRUE,0.8,0.93,0.6,0.77,TRUE,1.03
3,2,TRUE,0.8,0.39,0.7,0.57,FALSE,1.34
3,3,FALSE,1,0.97,0.8,1.24,FALSE,1.4
3,4,TRUE,0.8,1.17,0.85,0.81,FALSE,1.31
3,5,TRUE,0.8,0.72,0.75,0.82,FALSE,0.95
4,0,FALSE,1,0.47,0.8,0.83,FALSE,1.26
4,1,FALSE,0.9,0.73,0.8,0.5,TRUE,2.68
4,2,FALSE,0.7,0.63,0.8,0.68,TRUE,1.27
4,3,TRUE,0.8,0.58,0.85,0.66,FALSE,1.51
4,4,TRUE,0.8,0.69,0.75,0.62,TRUE,1.97
4,5,FALSE,0.6,0.5,0.8,0.6,FALSE,1.45
