blockNum,trialnum,refIsOne,Piston1MaxIntensity,TimeToComplete1,Piston2MaxIntensity,TimeToComplete2,Answer,TimeToAnswer
0,0,FALSE,0.85,2.73,0.8,1.7,FALSE,6.15
0,1,TRUE,0.8,1.7,0.9,1.55,FALSE,2.71
0,2,FALSE,1,1.93,0.8,1.49,TRUE,7.78
0,3,TRUE,0.8,1.63,0.7,1.39,TRUE,2.47
0,4,TRUE,0.8,1.62,0.6,1.21,FALSE,1.94
0,5,TRUE,0.8,1.31,0.75,1.46,FALSE,3.11
1,0,TRUE,0.8,2.94,0.9,1.43,FALSE,1.82
1,1,TRUE,0.8,1.81,0.75,1.32,FALSE,1.42
1,2,TRUE,0.8,1.98,0.7,1.12,TRUE,1.16
1,3,FALSE,0.6,1.42,0.8,1.14,FALSE,0.86
1,4,TRUE,0.8,1.69,0.85,1.11,FALSE,2.76
1,5,FALSE,1,1.54,0.8,1.24,TRUE,3.03
2,0,FALSE,0.7,1.36,0.8,1.25,FALSE,0.96
2,1,FALSE,0.9,1.52,0.8,1.3,FALSE,1.19
2,2,TRUE,0.8,2,1,1.86,TRUE,1.31
2,3,FALSE,0.6,1.33,0.8,1.37,FALSE,1.13
2,4,FALSE,0.75,1.41,0.8,1.86,TRUE,3.04
2,5,TRUE,0.8,1.36,0.85,1.14,TRUE,1.08
3,0,FALSE,0.6,1.34,0.8,1.16,FALSE,1.16
3,1,TRUE,0.8,1.56,0.85,1.09,TRUE,3.15
3,2,FALSE,0.7,1.13,0.8,0.96,FALSE,1.27
3,3,FALSE,0.75,1.06,0.8,1.16,FALSE,6.4
3,4,TRUE,0.8,1.27,0.9,1.33,TRUE,2.4
3,5,FALSE,1,1.23,0.8,1.22,TRUE,1.89
4,0,TRUE,0.8,1.23,0.6,0.72,TRUE,1.84
4,1,FALSE,0.85,0.85,0.8,0.92,TRUE,1.63
4,2,TRUE,0.8,0.96,0.7,0.77,TRUE,1.01
4,3,TRUE,0.8,0.94,0.75,1.14,FALSE,1.58
4,4,FALSE,0.9,1.25,0.8,1.04,FALSE,1.53
4,5,TRUE,0.8,1.49,1,1.09,TRUE,1.53
