blockNum,trialnum,refIsOne,Piston1MaxIntensity,TimeToComplete1,Piston2MaxIntensity,TimeToComplete2,Answer,TimeToAnswer
0,0,TRUE,0.4,1.67,0.6,1.72,FALSE,2.54
0,1,TRUE,0.4,1.8,0.45,1.73,FALSE,4.24
0,2,FALSE,0.3,2.26,0.4,1.87,TRUE,5.15
0,3,FALSE,0.2,1.96,0.4,1.58,FALSE,1.92
0,4,FALSE,0.5,1.38,0.4,1.27,TRUE,0.97
0,5,TRUE,0.4,1.51,0.35,1.31,TRUE,0.86
1,0,FALSE,0.35,2.01,0.4,1.33,FALSE,1.97
1,1,FALSE,0.3,1.65,0.4,1.72,FALSE,4.55
1,2,TRUE,0.4,2.11,0.45,1.88,FALSE,1.43
1,3,FALSE,0.6,2.59,0.4,2.46,TRUE,2.84
1,4,FALSE,0.5,1.83,0.4,2.52,TRUE,1.78
1,5,FALSE,0.2,2.02,0.4,1.86,FALSE,2.48
2,0,TRUE,0.4,1.72,0.5,1.54,TRUE,1.35
2,1,TRUE,0.4,1.81,0.45,1.47,FALSE,2.35
2,2,FALSE,0.2,1.68,0.4,1.71,FALSE,1.43
2,3,FALSE,0.6,2.41,0.4,2.01,TRUE,1.51
2,4,TRUE,0.4,1.91,0.3,1.92,FALSE,2.79
2,5,FALSE,0.35,1.93,0.4,1.59,FALSE,3.11
3,0,FALSE,0.3,1.99,0.4,1.72,FALSE,6.64
3,1,FALSE,0.45,2.11,0.4,2.17,TRUE,1.34
3,2,TRUE,0.4,2.24,0.5,2.34,FALSE,1.16
3,3,FALSE,0.2,2.54,0.4,2.12,FALSE,1.28
3,4,TRUE,0.4,1.98,0.35,2.19,TRUE,1.36
3,5,FALSE,0.6,1.82,0.4,2.19,TRUE,1.29
4,0,FALSE,0.35,1.81,0.4,2.21,TRUE,3.94
4,1,FALSE,0.45,2.3,0.4,2.2,FALSE,3.7
4,2,TRUE,0.4,2.2,0.2,2.08,TRUE,1.44
4,3,TRUE,0.4,3.2,0.5,2.08,FALSE,1.94
4,4,FALSE,0.3,2.36,0.4,2.81,FALSE,2.39
4,5,TRUE,0.4,2.79,0.6,2.89,FALSE,1.43
