blockNum,trialnum,refIsOne,Piston1MaxIntensity,TimeToComplete1,Piston2MaxIntensity,TimeToComplete2,Answer,TimeToAnswer
0,0,FALSE,0.2,2.15,0.4,2.04,TRUE,16.14
0,1,FALSE,0.45,2,0.4,1.86,FALSE,11.89
0,2,FALSE,0.3,1.91,0.4,2.72,FALSE,2.26
0,3,FALSE,0.6,1.81,0.4,2,TRUE,2.42
0,4,TRUE,0.4,2.02,0.5,1.52,FALSE,3.12
0,5,TRUE,0.4,1.59,0.35,1.92,TRUE,3.45
1,0,FALSE,0.45,1.52,0.4,1.83,TRUE,3.38
1,1,FALSE,0.6,1.99,0.4,2.13,TRUE,2.31
1,2,FALSE,0.5,1.84,0.4,1.82,TRUE,4.05
1,3,TRUE,0.4,2.2,0.2,2.04,TRUE,4.85
1,4,TRUE,0.4,2,0.3,1.49,TRUE,3.7
1,5,FALSE,0.35,1.72,0.4,2.24,FALSE,1.71
2,0,TRUE,0.4,1.93,0.35,2.2,TRUE,2.93
2,1,FALSE,0.45,1.91,0.4,2.37,FALSE,2.9
2,2,FALSE,0.2,2.5,0.4,2.29,FALSE,7.55
2,3,TRUE,0.4,1.81,0.5,2.54,TRUE,7.55
2,4,TRUE,0.4,1.92,0.6,1.71,FALSE,2.51
2,5,TRUE,0.4,1.61,0.3,2.03,TRUE,3.58
3,0,TRUE,0.4,1.92,0.35,2.35,FALSE,3.22
3,1,TRUE,0.4,2.05,0.45,2.67,FALSE,1.93
3,2,TRUE,0.4,3.14,0.5,0.96,TRUE,4.56
3,3,TRUE,0.4,2.56,0.6,1.31,FALSE,2.63
3,4,TRUE,0.4,1.83,0.3,1.88,TRUE,3.11
3,5,TRUE,0.4,1.23,0.2,1.4,TRUE,2.44
4,0,TRUE,0.4,1.64,0.35,1.65,TRUE,3.34
4,1,FALSE,0.45,1.93,0.4,2.25,TRUE,4.02
4,2,TRUE,0.4,2.19,0.2,2,TRUE,1.86
4,3,FALSE,0.5,1.73,0.4,1.97,TRUE,3.77
4,4,FALSE,0.3,2.03,0.4,2.31,FALSE,1.99
4,5,TRUE,0.4,1.33,0.6,1.69,TRUE,2.56
