blockNum,trialnum,refIsOne,Piston1MaxIntensity,TimeToComplete1,Piston2MaxIntensity,TimeToComplete2,Answer,TimeToAnswer
0,0,TRUE,0.4,5.45,0.35,2.85,FALSE,4.81
0,1,TRUE,0.4,3.82,0.45,4.07,TRUE,1.66
0,2,TRUE,0.4,4.01,0.6,3.78,FALSE,1.58
0,3,FALSE,0.3,6.1,0.4,5.71,FALSE,1.2
0,4,TRUE,0.4,4.18,0.2,3.29,TRUE,1.76
0,5,TRUE,0.4,3.01,0.5,3.35,FALSE,2.19
1,0,TRUE,0.4,3.66,0.35,3.46,FALSE,2.52
1,1,FALSE,0.45,3.82,0.4,3.41,FALSE,2.31
1,2,TRUE,0.4,4.67,0.5,3.83,FALSE,2.36
1,3,FALSE,0.2,5.29,0.4,3.88,TRUE,1.35
1,4,FALSE,0.6,5.48,0.4,3.32,TRUE,2.1
1,5,TRUE,0.4,3.26,0.3,2.78,FALSE,2.76
2,0,FALSE,0.45,2.49,0.4,4,FALSE,2.07
2,1,FALSE,0.35,3.61,0.4,3.78,FALSE,2.07
2,2,FALSE,0.3,3.92,0.4,4.37,FALSE,5.53
2,3,FALSE,0.5,4.22,0.4,5.32,TRUE,2.45
2,4,FALSE,0.6,3.77,0.4,3.15,TRUE,1.86
2,5,FALSE,0.2,3.05,0.4,2.54,TRUE,1.47
3,0,TRUE,0.4,3.5,0.5,2.12,TRUE,1.73
3,1,TRUE,0.4,1.95,0.2,1.64,TRUE,1.43
3,2,TRUE,0.4,2.67,0.45,1.82,TRUE,1.46
3,3,FALSE,0.6,1.66,0.4,2.26,FALSE,1.32
3,4,TRUE,0.4,2.73,0.35,2.83,TRUE,1.07
3,5,FALSE,0.3,2.63,0.4,2.72,TRUE,1.48
4,0,TRUE,0.4,1.83,0.35,1.7,FALSE,1.58
4,1,FALSE,0.3,2.09,0.4,1.89,FALSE,2.16
4,2,FALSE,0.45,2.25,0.4,2.38,FALSE,2.07
4,3,FALSE,0.6,2.55,0.4,2.25,TRUE,2.16
4,4,TRUE,0.4,3.16,0.5,2.3,TRUE,1.17
4,5,TRUE,0.4,3.22,0.2,2.46,TRUE,1.35
