blockNum,trialnum,refIsOne,Piston1MaxIntensity,TimeToComplete1,Piston2MaxIntensity,TimeToComplete2,Answer,TimeToAnswer
0,0,FALSE,0.5,3.51,0.6,2.54,TRUE,2.31
0,1,TRUE,0.6,2.49,0.4,0.76,TRUE,1.53
0,2,TRUE,0.6,1.4,0.8,1.74,TRUE,1.53
0,3,FALSE,0.7,2.61,0.6,3.26,FALSE,1.64
0,4,FALSE,0.55,2.93,0.6,2.67,FALSE,2.1
0,5,FALSE,0.65,2.63,0.6,3.15,FALSE,2.16
1,0,TRUE,0.6,4.94,0.65,2,TRUE,1.06
1,1,TRUE,0.6,3.59,0.7,1.47,TRUE,1.42
1,2,FALSE,0.8,4.19,0.6,1.89,TRUE,1.07
1,3,FALSE,0.55,3,0.6,4.16,FALSE,2.54
1,4,FALSE,0.4,4.49,0.6,2.45,FALSE,1.44
1,5,TRUE,0.6,3.15,0.5,2.57,TRUE,1.25
2,0,TRUE,0.6,2.45,0.4,2.7,FALSE,1.46
2,1,FALSE,0.55,3.18,0.6,1.54,TRUE,2.08
2,2,FALSE,0.8,3.14,0.6,2.12,TRUE,1.91
2,3,FALSE,0.65,2.77,0.6,2.59,FALSE,1.97
2,4,FALSE,0.5,2.8,0.6,3.99,FALSE,1.2
2,5,TRUE,0.6,3.77,0.7,1.68,TRUE,1.63
3,0,TRUE,0.6,3.4,0.5,1.99,TRUE,1.01
3,1,FALSE,0.65,2.16,0.6,1.68,TRUE,1.5
3,2,FALSE,0.55,1.88,0.6,0.85,TRUE,1.19
3,3,FALSE,0.4,1.9,0.6,0.67,TRUE,2.79
3,4,TRUE,0.6,2.81,0.8,1.17,TRUE,2.85
3,5,FALSE,0.7,1.85,0.6,1.6,TRUE,1.48
4,0,FALSE,0.4,1.41,0.6,0.89,FALSE,2.93
4,1,FALSE,0.55,1.22,0.6,2.28,FALSE,1.88
4,2,TRUE,0.6,2.19,0.65,1.64,FALSE,1.85
4,3,TRUE,0.6,3.23,0.7,1.85,TRUE,1.71
4,4,TRUE,0.6,2.47,0.8,2.69,TRUE,1.28
4,5,TRUE,0.6,3.03,0.5,1.17,TRUE,1.08
