blockNum,trialnum,refIsOne,Piston1MaxIntensity,TimeToComplete1,Piston2MaxIntensity,TimeToComplete2,Answer,TimeToAnswer
0,0,TRUE,0.8,0.57,0.96,0.57,FALSE,1
0,1,FALSE,0.84,0.43,0.8,0.54,FALSE,1.2
0,2,TRUE,0.8,0.42,0.64,0.67,TRUE,3.48
0,3,FALSE,0.72,0.59,0.8,0.98,FALSE,1.61
0,4,FALSE,0.76,0.45,0.8,0.72,FALSE,1.24
0,5,FALSE,0.88,0.63,0.8,0.73,FALSE,1.01
1,0,TRUE,0.8,0.46,0.88,0.4,FALSE,1.63
1,1,TRUE,0.8,0.37,0.96,0.48,FALSE,3.31
1,2,TRUE,0.8,0.38,0.76,0.65,FALSE,1.03
1,3,FALSE,0.72,0.5,0.8,0.54,TRUE,0.85
1,4,TRUE,0.8,0.57,0.64,1.02,TRUE,0.97
1,5,FALSE,0.84,0.47,0.8,1.11,FALSE,4.08
2,0,TRUE,0.8,0.44,0.76,0.62,FALSE,3.29
2,1,TRUE,0.8,0.55,0.96,0.83,FALSE,4.7
2,2,TRUE,0.8,0.89,0.72,0.93,TRUE,2.07
2,3,TRUE,0.8,0.49,0.84,1.45,TRUE,1.06
2,4,TRUE,0.8,0.31,0.64,0.63,FALSE,1.02
2,5,TRUE,0.8,0.42,0.88,0.28,FALSE,0.98
3,0,TRUE,0.8,1.89,0.96,0.25,TRUE,1.68
3,1,TRUE,0.8,0.53,0.88,0.23,TRUE,2.29
3,2,FALSE,0.84,0.41,0.8,0.18,TRUE,1.25
3,3,FALSE,0.64,0.31,0.8,0.45,FALSE,0.84
3,4,FALSE,0.76,0.3,0.8,0.26,FALSE,1
3,5,TRUE,0.8,0.36,0.72,0.27,FALSE,1.26
4,0,FALSE,0.88,0.3,0.8,0.27,FALSE,1.65
4,1,TRUE,0.8,0.23,0.76,0.22,FALSE,0.74
4,2,TRUE,0.8,0.31,0.84,0.29,FALSE,1.24
4,3,TRUE,0.8,0.41,0.96,0.24,FALSE,0.95
4,4,FALSE,0.72,0.44,0.8,0.35,FALSE,1.29
4,5,TRUE,0.8,0.33,0.64,0.48,TRUE,1.78
