blockNum,trialnum,refIsOne,Piston1MaxIntensity,TimeToComplete1,Piston2MaxIntensity,TimeToComplete2,Answer,TimeToAnswer
0,0,FALSE,0.5,5.61,0.6,3.6,FALSE,38.44
0,1,FALSE,0.65,4.03,0.6,3.43,FALSE,1.98
0,2,TRUE,0.6,3.83,0.8,8.62,FALSE,3.89
0,3,FALSE,0.4,3.58,0.6,2.46,FALSE,1.77
0,4,TRUE,0.6,2.73,0.55,2.13,TRUE,1.09
0,5,FALSE,0.7,2.04,0.6,1.29,FALSE,3.04
1,0,TRUE,0.6,2.08,0.8,1.2,TRUE,1.5
1,1,FALSE,0.65,1.33,0.6,1.1,FALSE,2.13
1,2,TRUE,0.6,1.27,0.5,1.32,TRUE,0.94
1,3,TRUE,0.6,1.62,0.55,1.22,TRUE,3.83
1,4,FALSE,0.7,1.3,0.6,1.27,FALSE,1.85
1,5,TRUE,0.6,1.48,0.4,0.99,TRUE,1
2,0,FALSE,0.4,1.85,0.6,1.51,TRUE,1.4
2,1,FALSE,0.55,1.24,0.6,1.21,TRUE,1.84
2,2,FALSE,0.8,1.33,0.6,1.29,FALSE,2.81
2,3,TRUE,0.6,1.63,0.7,1.47,TRUE,2.41
2,4,TRUE,0.6,1.51,0.5,1.39,TRUE,2.2
2,5,TRUE,0.6,1.59,0.65,1.2,FALSE,1.72
3,0,TRUE,0.6,1.95,0.8,1.46,TRUE,0.94
3,1,FALSE,0.55,1.25,0.6,1.43,FALSE,1.58
3,2,TRUE,0.6,1.35,0.7,1.96,TRUE,2.9
3,3,TRUE,0.6,1.22,0.65,1.14,FALSE,1.53
3,4,FALSE,0.4,1.36,0.6,1.36,FALSE,1.84
3,5,FALSE,0.5,1.61,0.6,1.45,TRUE,1.7
4,0,FALSE,0.55,2.11,0.6,1.53,FALSE,1.19
4,1,FALSE,0.5,1.3,0.6,1.57,FALSE,1.48
4,2,TRUE,0.6,1.5,0.7,1.96,FALSE,1.82
4,3,TRUE,0.6,1.52,0.65,1.36,TRUE,5.42
4,4,FALSE,0.8,1.41,0.6,1.31,FALSE,2.7
4,5,TRUE,0.6,1.41,0.4,1.3,TRUE,3.23
