blockNum,trialnum,refIsOne,Piston1MaxIntensity,TimeToComplete1,Piston2MaxIntensity,TimeToComplete2,Answer,TimeToAnswer
0,0,TRUE,0.8,1.43,0.9,1.17,TRUE,1.62
0,1,TRUE,0.8,1.15,1,1.03,FALSE,1.19
0,2,FALSE,0.75,1.07,0.8,0.93,TRUE,1.42
0,3,FALSE,0.85,1.04,0.8,0.93,FALSE,1.25
0,4,FALSE,0.6,0.99,0.8,0.74,FALSE,0.85
0,5,FALSE,0.7,0.77,0.8,0.68,FALSE,1.06
1,0,FALSE,0.7,1.05,0.8,0.69,FALSE,1.18
1,1,FALSE,0.85,0.84,0.8,0.83,FALSE,1.08
1,2,TRUE,0.8,1.01,0.9,0.64,FALSE,1.75
1,3,FALSE,1,0.78,0.8,0.7,FALSE,1.16
1,4,FALSE,0.75,0.94,0.8,0.85,TRUE,1.12
1,5,TRUE,0.8,1.21,0.6,0.79,FALSE,1.64
2,0,TRUE,0.8,1.11,0.75,0.81,FALSE,1.11
2,1,FALSE,0.85,0.94,0.8,0.87,TRUE,1.05
2,2,TRUE,0.8,0.97,1,0.78,FALSE,0.99
2,3,FALSE,0.6,0.86,0.8,0.92,TRUE,0.69
2,4,TRUE,0.8,0.93,0.9,0.76,FALSE,1.08
2,5,FALSE,0.7,0.95,0.8,0.7,FALSE,0.99
3,0,TRUE,0.8,1.23,0.7,0.79,TRUE,1.38
3,1,TRUE,0.8,0.81,1,1.02,FALSE,0.89
3,2,FALSE,0.6,1.01,0.8,0.96,FALSE,1.16
3,3,FALSE,0.75,0.62,0.8,0.77,FALSE,1.19
3,4,TRUE,0.8,0.95,0.9,0.89,FALSE,0.79
3,5,FALSE,0.85,0.92,0.8,0.71,FALSE,1.8
4,0,TRUE,0.8,1.21,0.7,0.79,FALSE,2.1
4,1,FALSE,0.85,0.76,0.8,0.74,FALSE,1.55
4,2,TRUE,0.8,0.89,0.9,0.65,TRUE,1.08
4,3,TRUE,0.8,1.09,1,0.88,TRUE,0.99
4,4,TRUE,0.8,0.94,0.6,0.74,TRUE,1.02
4,5,TRUE,0.8,0.96,0.75,0.97,FALSE,1.28
