blockNum,trialnum,refIsOne,Piston1MaxIntensity,TimeToComplete1,Piston2MaxIntensity,TimeToComplete2,Answer,TimeToAnswer
0,0,TRUE,0.4,2.06,0.2,2.07,TRUE,3.9
0,1,FALSE,0.3,2.07,0.4,0.76,FALSE,3.2
0,2,TRUE,0.4,1.66,0.6,1.61,FALSE,1.53
0,3,FALSE,0.5,3.47,0.4,3.29,TRUE,1.51
0,4,FALSE,0.35,3.47,0.4,2.32,TRUE,1.41
0,5,TRUE,0.4,1.65,0.45,1.07,FALSE,4.67
1,0,TRUE,0.4,1.89,0.35,2.73,TRUE,1.67
1,1,TRUE,0.4,2.36,0.5,2.76,FALSE,1.49
1,2,TRUE,0.4,1.93,0.2,2.33,TRUE,2.13
1,3,TRUE,0.4,1.46,0.6,1.5,FALSE,1.29
1,4,FALSE,0.45,2.06,0.4,2.14,TRUE,1.52
1,5,TRUE,0.4,1.55,0.3,1.74,TRUE,1.32
2,0,FALSE,0.35,2.15,0.4,1.75,TRUE,2.53
2,1,FALSE,0.5,1.58,0.4,1.37,FALSE,4.08
2,2,TRUE,0.4,1.98,0.45,1.97,TRUE,1.44
2,3,FALSE,0.6,1.29,0.4,1.09,TRUE,1.34
2,4,FALSE,0.3,1.22,0.4,1.11,FALSE,1.29
2,5,TRUE,0.4,2.54,0.2,2.33,TRUE,2.69
3,0,FALSE,0.35,2.8,0.4,2.07,FALSE,3.75
3,1,FALSE,0.6,1.6,0.4,1.69,TRUE,1.42
3,2,TRUE,0.4,10.9,0.45,3.53,TRUE,1.41
3,3,TRUE,0.4,4.46,0.3,1.26,TRUE,1.17
3,4,TRUE,0.4,1.42,0.5,1.96,FALSE,3.04
3,5,FALSE,0.2,2.72,0.4,1.5,FALSE,4.24
4,0,TRUE,0.4,1.75,0.5,0.95,TRUE,7.05
4,1,TRUE,0.4,1.69,0.2,1.33,TRUE,2.34
4,2,TRUE,0.4,1.57,0.3,1.19,TRUE,1.22
4,3,TRUE,0.4,1.94,0.45,1.86,FALSE,1.84
4,4,TRUE,0.4,2.65,0.6,2.19,FALSE,2.65
4,5,FALSE,0.35,1.79,0.4,2,TRUE,2.37
