blockNum,trialnum,refIsOne,Piston1MaxIntensity,TimeToComplete1,Piston2MaxIntensity,TimeToComplete2,Answer,TimeToAnswer
0,0,FALSE,0.6,2.55,0.8,1.56,FALSE,0.84
0,1,TRUE,0.8,4.68,1,4.66,FALSE,1.06
0,2,TRUE,0.8,1.89,0.85,1.63,TRUE,1.71
0,3,TRUE,0.8,1.47,0.75,1.86,FALSE,0.92
0,4,FALSE,0.9,2.2,0.8,2.13,TRUE,1.31
0,5,TRUE,0.8,2.11,0.7,1.85,FALSE,1.3
1,0,FALSE,0.7,1.75,0.8,2.36,TRUE,0.82
1,1,FALSE,0.9,1.91,0.8,3.23,FALSE,0.72
1,2,FALSE,1,1.73,0.8,1.59,FALSE,0.7
1,3,FALSE,0.85,1.78,0.8,1.51,FALSE,0.68
1,4,TRUE,0.8,1.46,0.75,5.56,FALSE,1.25
1,5,TRUE,0.8,1.53,0.6,2.44,TRUE,0.83
2,0,FALSE,0.6,4.72,0.8,1.47,TRUE,1.92
2,1,FALSE,0.7,1.39,0.8,1.41,FALSE,0.91
2,2,TRUE,0.8,1.45,0.75,1.39,TRUE,0.81
2,3,TRUE,0.8,1.43,1,1.29,FALSE,1.21
2,4,FALSE,0.85,1.44,0.8,1.17,TRUE,1.66
2,5,TRUE,0.8,1.41,0.9,1.25,FALSE,0.9
3,0,FALSE,0.9,1.41,0.8,1.12,FALSE,1.53
3,1,TRUE,0.8,1.2,0.85,1.48,TRUE,0.88
3,2,FALSE,1,1.6,0.8,1.43,FALSE,1.55
3,3,TRUE,0.8,1.35,0.7,1.41,TRUE,2.3
3,4,FALSE,0.6,1.53,0.8,1.4,FALSE,0.81
3,5,FALSE,0.75,1.7,0.8,1.42,TRUE,1.89
4,0,FALSE,0.6,2.98,0.8,2.74,FALSE,1.92
4,1,FALSE,0.75,2.91,0.8,2.61,TRUE,1.54
4,2,TRUE,0.8,4.19,0.85,1.78,TRUE,0.81
4,3,FALSE,0.9,2.32,0.8,2.08,FALSE,4.03
4,4,FALSE,0.7,2.3,0.8,2.45,FALSE,1.17
4,5,TRUE,0.8,2.29,1,2.62,FALSE,2.83
