blockNum,trialnum,refIsOne,Piston1MaxIntensity,TimeToComplete1,Piston2MaxIntensity,TimeToComplete2,Answer,TimeToAnswer
0,0,TRUE,0.6,2.83,0.7,6.03,FALSE,1.71
0,1,FALSE,0.5,2.15,0.6,1.81,FALSE,0.92
0,2,FALSE,0.4,8.3,0.6,5.72,FALSE,2.66
0,3,TRUE,0.6,2.88,0.8,4.94,FALSE,1.61
0,4,TRUE,0.6,1.96,0.65,4.78,FALSE,2.51
0,5,FALSE,0.55,2.29,0.6,1.6,TRUE,0.86
1,0,FALSE,0.5,2,0.6,2.59,FALSE,1.45
1,1,TRUE,0.6,1.79,0.65,1.7,TRUE,1.61
1,2,TRUE,0.6,2.65,0.4,2.67,TRUE,1.14
1,3,TRUE,0.6,2.85,0.7,2.86,TRUE,2.38
1,4,TRUE,0.6,2.75,0.8,2.13,FALSE,1.91
1,5,TRUE,0.6,2.61,0.55,2.37,FALSE,3.29
2,0,TRUE,0.6,2.11,0.55,2.84,FALSE,1.31
2,1,FALSE,0.7,1.78,0.6,1.81,TRUE,2.06
2,2,FALSE,0.65,2.18,0.6,2.33,TRUE,0.95
2,3,TRUE,0.6,2.19,0.5,1.65,TRUE,1.19
2,4,FALSE,0.8,2.27,0.6,1.6,FALSE,1.14
2,5,TRUE,0.6,1.82,0.4,1.3,TRUE,1.56
3,0,FALSE,0.65,2.03,0.6,1.52,TRUE,2.7
3,1,FALSE,0.55,3.61,0.6,2.24,FALSE,0.95
3,2,FALSE,0.8,1.91,0.6,1.41,FALSE,0.94
3,3,FALSE,0.7,3.51,0.6,1.47,TRUE,1.02
3,4,FALSE,0.5,1.76,0.6,1.52,FALSE,0.88
3,5,FALSE,0.4,3.36,0.6,1.59,TRUE,1.9
4,0,FALSE,0.7,1.29,0.6,1.69,TRUE,1.84
4,1,FALSE,0.8,2.22,0.6,1.73,TRUE,1.7
4,2,FALSE,0.55,1.42,0.6,1.76,FALSE,1.38
4,3,TRUE,0.6,1.58,0.65,1.26,TRUE,0.82
4,4,TRUE,0.6,1.99,0.4,1.36,TRUE,1.15
4,5,TRUE,0.6,1.83,0.5,1.8,FALSE,0.89
